32879462;01/01/16;31/12/16;790.759;361.317;22.470.740;6.132.364;171.711;14.871.262;1.295.403
25566769;01/01/16;31/12/16;1.513.702;1.239.834;37.381.162;6.695.986;502.299;26.808.496;3.374.381
33880960;01/01/16;31/12/16;4.180.562;2.870.917;125.988.576;15.482.703;1.362.818;105.902.274;3.240.781
36441453;01/01/16;31/12/16;2.785.813;897.704;73.108.297;6.313.470;6.145.634;59.253.886;1.395.307
36441658;01/01/16;31/12/16;372.400;33.543;60.875.014;229.825;12.095.819;48.432.737;116.633
26000742;01/01/17;31/12/17;318.955;-39.148;293.528;95.077;198.451;;
30612140;01/01/17;31/12/17;-34.890;-2.809.871;3.450.821;3.348.674;102.147;;
31067685;01/01/16;31/12/16;49.164;28.394;679.795;-91.888;771.683;;
33149123;01/01/17;31/12/17;93.970;-43.080;2.116.560;-640.173;728.503;2.028.230;
37518417;01/03/16;31/12/16;-36.334;33.775;45.485;35.775;9.710;;
28103956;01/01/17;31/12/17;-5.562;315.580;551.710;534.901;16.809;;0
37831980;01/01/16;31/12/16;-1.138;-5.806;230.362;227.604;2.758;;
35234489;01/01/16;31/12/16;;0;0;0;;;
35233598;01/01/17;31/12/17;0;0;0;0;0;;
32304923;01/01/17;31/12/17;918.798;-224.337;879.453;251.374;628.079;;0
32834779;01/01/17;31/12/17;370.869;61.968;310.012;106.106;152.465;51.441;
34577110;01/01/17;31/12/17;39.833;-105.657;1.800.289;1.485.296;314.993;;0
10018862;01/01/17;31/12/17;-67.429;1.616.885;10.126.685;7.702.202;2.424.483;;
31157218;01/01/17;31/12/17;299.620;97.299;5.422.855;551.301;1.776.082;3.095.472;
30557999;01/01/17;31/12/17;7.602.426;312.104;7.230.162;171.473;4.767.932;2.290.756;
31371082;01/01/17;31/12/17;19.556;8.008;191.527;129.844;61.683;;
27758150;01/01/17;31/12/17;2.251.645;77.596;1.948.583;1.421.289;527.294;;
28108532;01/01/17;31/12/17;378.057;43.752;408.801;144.624;264.177;;0
27121578;01/01/17;31/12/17;9.476.638;94.577;8.846.699;2.859.110;5.098.386;889.203;
28108516;01/01/17;31/12/17;-6.500;28.009;387.178;185.066;202.112;;
34078025;01/01/16;31/12/16;10.894;6.846;30.797;-213.515;317;243.995;
29917078;01/01/17;31/12/17;-101.292;171.301;171.473;-401.942;573.415;;
30738500;01/01/16;31/12/16;-365;-4.283;27.771;-10.476;27.247;11.000;
37216186;01/01/17;31/12/17;0;0;0;0;;;
31779081;01/01/16;31/12/16;-14.811;183.290;1.169.943;1.063.145;106.798;;
27085954;01/01/17;31/12/17;-6.200;47.703;2.859.112;632.333;2.226.779;;
32069657;01/01/16;31/12/16;693.620;191.938;1.337.974;383.933;342.777;611.264;
29527962;01/01/16;31/12/16;6.348;3.394;66.525;-48.240;2.498;112.267;
14313087;01/01/16;31/12/16;0;;251.287;246.207;5.080;;
26138396;01/05/16;30/04/17;-13.426;95.019;835.574;822.034;13.540;;
36903635;01/01/17;31/12/17;14.700;49.680;98.521;87.949;10.572;;
38588125;19/04/17;31/12/17;0;0;0;0;0;0;0
38266039;01/01/17;31/12/17;0;0;0;0;0;0;0
33962975;01/01/17;31/12/17;190.016;145.416;502.271;456.443;44.478;;1.350
27374905;01/01/17;31/12/17;2.281.716;372.804;2.144.147;1.698.336;445.811;;
27374883;01/01/17;31/12/17;79.509;362.154;3.221.621;1.813.714;599.467;808.440;
